items,2017,2018,2019,2020,2021,2022F,2016
Balance_sheet,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Dự báo,
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,
"     Tiền thu từ đầu tư, góp vốn vào các đơn vị khác",265.688,2628.038,95.773,605.274,13.791,,12.54
     Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư góp vốn dài hạn,129.685,129.753,197.571,83.959,93.844,,31.672
Lưu chuyển tiền thuần từ hoạt động đầu tư,-739.457,1629.227,-706.447,-2305.153,-1590.093,,-1222.592
Lưu chuyển tiền từ hoạt động tài chính,0,0,0,0,0,,0
     Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,0,0,6106.477,0,0,,0
     Tiền thu từ phát hành giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,0,0,0,0,0,,0
     Tiền chi thanh toán giấy tờ có giá dài hạn đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,0,0,0,0,0,,0
"     Cổ tức trả cho cổ đông, lợi nhuận đã chia",-2896.942,-2914.981,-2219.483,-2986.115,-1886.298,,-2665.02
     Tiền chi ra mua cổ phiếu quỹ,0,0,0,0,0,,0
     Tiền thu được do bán cổ phiếu quỹ,0,0,0,0,0,,0
Lưu chuyển tiền thuần từ hoạt động tài chính,-2896.942,-2914.981,3886.994,-2986.115,-1886.298,,-2665.02
Lưu chuyển tiền thuần trong kỳ,147969.292,-61520.091,28256.379,20312.167,-58256.569,,-6847.898
Tiền và các khoản tương đương tiền tài thời điểm đầu kỳ,157564.955,305534.247,244014.156,272270.535,292582.702,,164412.853
Điều chỉnh ảnh hưởng của thay đổi tỷ giá,0,0,0,0,0,,0
Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,305534.247,244014.156,272270.535,292582.702,234326.133,,157564.955
CF gián tiếp,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Đã kiểm toán,Chưa kiểm toán,,Đã kiểm toán
Công ty Kiểm toán,Kiểm toán KPMG,,,Kiểm toán KPMG,Kiểm toán KPMG,,EY Vietnam
Loại Ý kiến Kiểm toán,Chấp nhận toàn phần,,,Chấp nhận toàn phần,Chấp nhận toàn phần,,Chấp nhận toàn phần
Lưu chuyển tiền từ hoạt động kinh doanh,0,0,0,0,0,,0
Lợi nhuận trước thuế,0,0,0,0,0,,0
Điều chỉnh cho các khoản,0,0,0,0,0,,0
"Khấu hao TSCĐ, bất động sản đầu tư",0,0,0,0,0,,0
"Dự phòng RR tín dụng, giảm giá, đầu tư tăng thêm/(hoàn nhập) trong năm",0,0,0,0,0,,0
Lãi và phí phải thu trong kỳ (thực tế chưa thu),0,0,0,0,0,,0
Lãi và phí phải trả trong kỳ (thực tế chưa trả),0,0,0,0,0,,0
(Lãi)/lỗ từ thanh lý tài sản cố định,0,0,0,0,0,,0
(Lãi)/lỗ do bán/thanh lý bất động sản đầu tư,0,0,0,0,0,,0
"Lãi/lỗ do thanh lý những khoán đầu tư, góp vốn dài hạn vào đơn vị khác, lãi, cổ tức nhận được, lợi nhuận được chia từ hợp đồng đầu tư góp vốn dài hạn",0,0,0,0,0,,0
Chênh lệch tỷ giá hối đoái chưa thực hiện,0,0,0,0,0,,0
Các điều chỉnh khác,0,0,0,0,0,,0
Lãi/(lỗ) trước những thay đổi vốn lưu động,18282.505,21540.011,26469.418,29528.536,32388.978,,14523.881
Những thay đổi về tài sản và công nợ hoạt động,0,0,0,0,0,,0
Những thay đổi về tài sản hoạt động,0,0,0,0,0,,0
Tiền gửi tại NHNN,0,0,0,0,0,,0
